,Question,Answer Label,Answer
0,What is Abaco?,0,"Introduction to Abaco - What is Abaco - Using Abaco. What is Abaco Abaco is an NSF-funded web service and distributed computing platform providing functions-as-a-service (FaaS)  to the research computing community. Abaco implements functions using the Actor Model of concurrent computation. In  Abaco, each actor is associated with a Docker image, and actor containers are executed in response to messages posted  to their inbox which itself is given by a URI exposed over HTTP. Abaco will ultimately offer three primary higher-level capabilities on top of the underlying Actor model:.  Reactors for event-driven programming Asynchronous Executors for scaling out function calls within running applications, and Data Adapters for creating rationalized microservices from disparate and heterogeneous sources of data..  Reactors and Asynchronous Executors are available today while Data Adapters are still under active development..  Using Abaco Abaco is in production and has been adopted by several projects. Abaco is available to researchers and students. To  learn more about the the system, including getting access, follow the instructions in getting-started/index."
1,What is the name of the web service and distributed computing platform that provides functions-as-a-service to the research computing community?,0,"Introduction to Abaco - What is Abaco - Using Abaco. What is Abaco Abaco is an NSF-funded web service and distributed computing platform providing functions-as-a-service (FaaS)  to the research computing community. Abaco implements functions using the Actor Model of concurrent computation. In  Abaco, each actor is associated with a Docker image, and actor containers are executed in response to messages posted  to their inbox which itself is given by a URI exposed over HTTP. Abaco will ultimately offer three primary higher-level capabilities on top of the underlying Actor model:.  Reactors for event-driven programming Asynchronous Executors for scaling out function calls within running applications, and Data Adapters for creating rationalized microservices from disparate and heterogeneous sources of data..  Reactors and Asynchronous Executors are available today while Data Adapters are still under active development..  Using Abaco Abaco is in production and has been adopted by several projects. Abaco is available to researchers and students. To  learn more about the the system, including getting access, follow the instructions in getting-started/index."
2,How many higher-level capabilities is abaco offered on top of the Actor model?,0,"Introduction to Abaco - What is Abaco - Using Abaco. What is Abaco Abaco is an NSF-funded web service and distributed computing platform providing functions-as-a-service (FaaS)  to the research computing community. Abaco implements functions using the Actor Model of concurrent computation. In  Abaco, each actor is associated with a Docker image, and actor containers are executed in response to messages posted  to their inbox which itself is given by a URI exposed over HTTP. Abaco will ultimately offer three primary higher-level capabilities on top of the underlying Actor model:.  Reactors for event-driven programming Asynchronous Executors for scaling out function calls within running applications, and Data Adapters for creating rationalized microservices from disparate and heterogeneous sources of data..  Reactors and Asynchronous Executors are available today while Data Adapters are still under active development..  Using Abaco Abaco is in production and has been adopted by several projects. Abaco is available to researchers and students. To  learn more about the the system, including getting access, follow the instructions in getting-started/index."
3,What is the introduction to Abaco - Getting Started?,1,"Introduction to Abaco - Getting Started. Getting Started This Getting Started guide will walk you through the initial steps of setting up the necessary accounts and installing  the required software before moving to the Abaco Quickstart, where you will create and execute your first Abaco actor. If  you are already using Docker Hub and the TACC Cloud APIs, feel free to jump right to the Abaco Quickstart or check  out the Abaco Live Docs site."
4,What are the initial steps of establishing the necessary accounts and installing the required software before moving to the abaco Quickstart?,1,"Introduction to Abaco - Getting Started. Getting Started This Getting Started guide will walk you through the initial steps of setting up the necessary accounts and installing  the required software before moving to the Abaco Quickstart, where you will create and execute your first Abaco actor. If  you are already using Docker Hub and the TACC Cloud APIs, feel free to jump right to the Abaco Quickstart or check  out the Abaco Live Docs site."
5,What is the name of the main instance of the Abaco platform?,2,"Introduction to Abaco - Getting Started - Account Creation and Software Installation - Install the Tapis Python SDK. Create a TACC account The main instance of the Abaco platform is hosted at the Texas Advanced Computing Center (TACC).  TACC designs and deploys some of the world’s most powerful advanced computing technologies and innovative software  solutions to enable researchers to answer complex questions. To use the TACC-hosted Abaco service, please  create a TACC account ..  Create a Docker account Docker  is an open-source container runtime providing operating-system-level  virtualization. Abaco pulls images for its actors from the public Docker Hub. To register actors  you will need to publish images on Docker Hub, which requires a Docker account ..  Install the Tapis Python SDK To interact with the TACC-hosted Abaco platform in Python, we will leverage the Tapis Python SDK, tapipy. To install it,  simply run:.  Attention tapipy works with Python 3."
6,What is an open-source container runtime that provides operating-system-level virtualization?,2,"Introduction to Abaco - Getting Started - Account Creation and Software Installation - Install the Tapis Python SDK. Create a TACC account The main instance of the Abaco platform is hosted at the Texas Advanced Computing Center (TACC).  TACC designs and deploys some of the world’s most powerful advanced computing technologies and innovative software  solutions to enable researchers to answer complex questions. To use the TACC-hosted Abaco service, please  create a TACC account ..  Create a Docker account Docker  is an open-source container runtime providing operating-system-level  virtualization. Abaco pulls images for its actors from the public Docker Hub. To register actors  you will need to publish images on Docker Hub, which requires a Docker account ..  Install the Tapis Python SDK To interact with the TACC-hosted Abaco platform in Python, we will leverage the Tapis Python SDK, tapipy. To install it,  simply run:.  Attention tapipy works with Python 3."
7,How does the Tapis Python SDK work with?,2,"Introduction to Abaco - Getting Started - Account Creation and Software Installation - Install the Tapis Python SDK. Create a TACC account The main instance of the Abaco platform is hosted at the Texas Advanced Computing Center (TACC).  TACC designs and deploys some of the world’s most powerful advanced computing technologies and innovative software  solutions to enable researchers to answer complex questions. To use the TACC-hosted Abaco service, please  create a TACC account ..  Create a Docker account Docker  is an open-source container runtime providing operating-system-level  virtualization. Abaco pulls images for its actors from the public Docker Hub. To register actors  you will need to publish images on Docker Hub, which requires a Docker account ..  Install the Tapis Python SDK To interact with the TACC-hosted Abaco platform in Python, we will leverage the Tapis Python SDK, tapipy. To install it,  simply run:.  Attention tapipy works with Python 3."
8,What is a widely-adopted web standard?,3,"Introduction to Abaco - Getting Started - Working with TACC OAuth. Working with TACC OAuth Authentication and authorization to the Tapis APIs uses OAuth2, a widely-adopted web standard.  Our implementation of OAuth2 is designed to give you the flexibility you need to script and automate use of Tapis  while keeping your access credentials and digital assets secure. This is covered in great detail in our  Tenancy and Authentication section, but some key concepts will be highlighted here, interleaved with Python code."
9,What is OAuth2 designed to give you the flexibility you need to script and automate use of Tapis while keeping your access credentials and digital assets secure?,3,"Introduction to Abaco - Getting Started - Working with TACC OAuth. Working with TACC OAuth Authentication and authorization to the Tapis APIs uses OAuth2, a widely-adopted web standard.  Our implementation of OAuth2 is designed to give you the flexibility you need to script and automate use of Tapis  while keeping your access credentials and digital assets secure. This is covered in great detail in our  Tenancy and Authentication section, but some key concepts will be highlighted here, interleaved with Python code."
